t_mono,changed,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11
479493,0,2.1,-1.8,2,0.8,-0.6,0.5,-0.7,-0.7,0.6,0,0,0
479493,0,2.1,-1.8,2,0.8,-0.6,0.5,-0.7,-0.7,0.6,0,0,0
479493,0,2.1,-1.8,2,0.8,-0.6,0.5,-0.7,-0.7,0.6,0,0,0
479493,0,2.1,-1.8,2,0.8,-0.6,0.5,-0.7,-0.7,0.6,0,0,0
479493,1,2,-1.8,2,0.8,-0.6,0.5,-0.7,-0.7,0.6,0,0,0
479493,1,2,-1.8,1.9,0.8,-0.6,0.5,-0.7,-0.7,0.6,0,0,0
479493,0,2,-1.8,1.9,0.8,-0.6,0.5,-0.7,-0.7,0.6,0,0,0
479493,1,2,-1.9,1.9,0.8,-0.6,0.5,-0.7,-0.7,0.6,0,0,0
479493,0,2,-1.9,1.9,0.8,-0.6,0.5,-0.7,-0.7,0.6,0,0,0
479493,0,2,-1.9,1.9,0.8,-0.6,0.5,-0.7,-0.7,0.6,0,0,0
479493,0,2,-1.9,1.9,0.8,-0.6,0.5,-0.7,-0.7,0.6,0,0,0
479493,0,2,-1.9,1.9,0.8,-0.6,0.5,-0.7,-0.7,0.6,0,0,0
479493,0,2,-1.9,1.9,0.8,-0.6,0.5,-0.7,-0.7,0.6,0,0,0
479493,0,2,-1.9,1.9,0.8,-0.6,0.5,-0.7,-0.7,0.6,0,0,0
479493,1,2.1,-2,1.9,0.8,-0.6,0.5,-0.7,-0.6,0.6,0,0,0
479493,0,2.1,-2,1.9,0.8,-0.6,0.5,-0.7,-0.6,0.6,0,0,0
479493,1,2.1,-1.9,1.9,0.8,-0.6,0.5,-0.7,-0.6,0.6,0,0,0
479493,0,2.1,-1.9,1.9,0.8,-0.6,0.5,-0.7,-0.6,0.6,0,0,0
479493,0,2.1,-1.9,1.9,0.8,-0.6,0.5,-0.7,-0.6,0.6,0,0,0
479493,1,2.1,-1.9,1.9,0.8,-0.6,0.5,-0.7,-0.6,0.5,0,0,0
479493,0,2.1,-1.9,1.9,0.8,-0.6,0.5,-0.7,-0.6,0.5,0,0,0
479493,1,2,-1.9,1.9,0.8,-0.6,0.5,-0.7,-0.6,0.5,0,0,0
479493,1,2,-1.9,1.9,0.7,-0.6,0.5,-0.7,-0.6,0.5,0,0,0
479493,0,2,-1.9,1.9,0.7,-0.6,0.5,-0.7,-0.6,0.5,0,0,0
479493,0,2,-1.9,1.9,0.7,-0.6,0.5,-0.7,-0.6,0.5,0,0,0
479493,0,2,-1.9,1.9,0.7,-0.6,0.5,-0.7,-0.6,0.5,0,0,0
479493,1,2,-2,1.9,0.7,-0.6,0.5,-0.6,-0.6,0.5,0,0,0
479493,1,1.9,-2,1.9,0.7,-0.6,0.5,-0.6,-0.6,0.5,0,0,0
479493,0,1.9,-2,1.9,0.7,-0.6,0.5,-0.6,-0.6,0.5,0,0,0
479493,1,1.9,-2,1.8,0.7,-0.6,0.5,-0.6,-0.6,0.5,0,0,0
479493,0,1.9,-2,1.8,0.7,-0.6,0.5,-0.6,-0.6,0.5,0,0,0
479493,0,1.9,-2,1.8,0.7,-0.6,0.5,-0.6,-0.6,0.5,0,0,0
479493,0,1.9,-2,1.8,0.7,-0.6,0.5,-0.6,-0.6,0.5,0,0,0
479493,0,1.9,-2,1.8,0.7,-0.6,0.5,-0.6,-0.6,0.5,0,0,0
479493,0,1.9,-2,1.8,0.7,-0.6,0.5,-0.6,-0.6,0.5,0,0,0
479493,1,2,-2,1.8,0.7,-0.6,0.5,-0.6,-0.6,0.5,0,0,0
479493,1,2,-2,1.8,0.7,-0.6,0.5,-0.6,-0.6,0.4,0,0,0
479493,1,2,-2,1.8,0.7,-0.6,0.5,-0.6,-0.5,0.4,0,0,0
479493,0,2,-2,1.8,0.7,-0.6,0.5,-0.6,-0.5,0.4,0,0,0
479493,0,2,-2,1.8,0.7,-0.6,0.5,-0.6,-0.5,0.4,0,0,0
479493,1,1.9,-2,1.8,0.7,-0.6,0.5,-0.6,-0.5,0.4,0,0,0
479493,0,1.9,-2,1.8,0.7,-0.6,0.5,-0.6,-0.5,0.4,0,0,0
479493,1,1.9,-2,1.8,0.7,-0.6,0.5,-0.6,-0.5,0.5,0,0,0
479493,1,1.9,-2,1.8,0.7,-0.6,0.5,-0.6,-0.5,0.4,0,0,0
479493,1,1.9,-2,1.8,0.7,-0.6,0.5,-0.6,-0.5,0.5,0,0,0
479493,1,1.8,-2,1.8,0.7,-0.6,0.5,-0.6,-0.5,0.5,0,0,0
479493,1,1.8,-2,1.8,0.7,-0.6,0.5,-0.6,-0.5,0.4,0,0,0
479493,0,1.8,-2,1.8,0.7,-0.6,0.5,-0.6,-0.5,0.4,0,0,0
479493,0,1.8,-2,1.8,0.7,-0.6,0.5,-0.6,-0.5,0.4,0,0,0
479493,0,1.8,-2,1.8,0.7,-0.6,0.5,-0.6,-0.5,0.4,0,0,0
479493,1,1.8,-2,1.8,0.7,-0.6,0.5,-0.5,-0.5,0.4,0,0,0
479493,1,1.8,-2,1.8,0.7,-0.6,0.5,-0.6,-0.5,0.4,0,0,0
479493,0,1.8,-2,1.8,0.7,-0.6,0.5,-0.6,-0.5,0.4,0,0,0
479493,1,1.8,-2,1.8,0.7,-0.6,0.5,-0.5,-0.5,0.4,0,0,0
479493,1,1.8,-2,1.8,0.7,-0.6,0.5,-0.6,-0.5,0.4,0,0,0
479493,0,1.8,-2,1.8,0.7,-0.6,0.5,-0.6,-0.5,0.4,0,0,0
479493,1,1.8,-2,1.8,0.7,-0.6,0.5,-0.5,-0.5,0.4,0,0,0
479493,0,1.8,-2,1.8,0.7,-0.6,0.5,-0.5,-0.5,0.4,0,0,0
479493,0,1.8,-2,1.8,0.7,-0.6,0.5,-0.5,-0.5,0.4,0,0,0
479493,0,1.8,-2,1.8,0.7,-0.6,0.5,-0.5,-0.5,0.4,0,0,0
479493,1,1.8,-2,1.7,0.7,-0.6,0.5,-0.5,-0.5,0.4,0,0,0
479493,0,1.8,-2,1.7,0.7,-0.6,0.5,-0.5,-0.5,0.4,0,0,0
479493,0,1.8,-2,1.7,0.7,-0.6,0.5,-0.5,-0.5,0.4,0,0,0
479493,0,1.8,-2,1.7,0.7,-0.6,0.5,-0.5,-0.5,0.4,0,0,0
479493,0,1.8,-2,1.7,0.7,-0.6,0.5,-0.5,-0.5,0.4,0,0,0
479493,1,1.7,-2,1.7,0.7,-0.6,0.5,-0.5,-0.5,0.4,0,0,0
479493,0,1.7,-2,1.7,0.7,-0.6,0.5,-0.5,-0.5,0.4,0,0,0
