t_mono,changed,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11
479839.012225,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.017115,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.022320,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.027196,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.032220,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.037281,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.042090,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.047181,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.052846,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.057029,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.061955,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.067285,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.072158,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.077132,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.081948,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.090464,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.092145,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.097254,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.102178,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.107076,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.112042,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.120209,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.122073,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.127051,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.132023,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.138324,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.142537,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.147787,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.152082,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.157220,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.162132,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.167043,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.172195,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.177262,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.182047,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.187094,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.192111,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.197177,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.202236,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.207191,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.212141,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.217239,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.222277,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.227241,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.232054,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.237349,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.242032,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.247128,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.252164,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.257080,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.262355,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.267036,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.272098,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.277143,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.282050,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.287063,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.292110,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.297262,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.302211,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.307192,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.314161,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.317030,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.325174,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.327059,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.332027,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.337041,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.342070,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.347107,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.354292,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.357051,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.362062,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.367035,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.372156,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.376953,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.381981,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.387087,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.392186,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.397230,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.402137,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.407196,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.412076,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.416997,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.422019,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.427133,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.431980,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.437147,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.442029,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.447150,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.452106,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.457037,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.462039,0,0,0,0,0,0,0,0,0,0,0,0,0
