t_mono,changed,ch0,ch1,ch2,ch3,ch4,ch5,ch6
479838.756860,1,-0.717982,0.0150739,0.993456,-2.24299,0.519049,2.46051,0.651236
479838.761839,1,-0.717984,0.0150792,0.993457,-2.24299,0.519047,2.46051,0.651229
479838.766823,1,-0.717985,0.015078,0.993459,-2.24299,0.519047,2.46051,0.651237
479838.771920,1,-0.717987,0.0150791,0.993457,-2.24299,0.519048,2.46051,0.651235
479838.776814,1,-0.717984,0.0150814,0.993459,-2.24299,0.519049,2.46051,0.651235
479838.781965,1,-0.717986,0.0150768,0.993461,-2.24299,0.519047,2.46051,0.651234
479838.786819,1,-0.717986,0.0150794,0.993461,-2.24299,0.519049,2.4605,0.651236
479838.791844,1,-0.717985,0.0150807,0.993458,-2.24299,0.519048,2.46051,0.651234
479838.796862,1,-0.717986,0.0150794,0.993455,-2.24299,0.519047,2.46051,0.651237
479838.801882,1,-0.717984,0.0150776,0.993457,-2.24299,0.519049,2.46051,0.651231
479838.806842,1,-0.717984,0.0150814,0.993458,-2.24299,0.519048,2.46051,0.651235
479838.811787,1,-0.717984,0.0150814,0.993464,-2.24299,0.519047,2.46051,0.651232
479838.816803,1,-0.717982,0.0150746,0.993459,-2.24299,0.519049,2.4605,0.651234
479838.821841,1,-0.717982,0.0150815,0.993463,-2.24299,0.519045,2.46051,0.651239
479838.826815,1,-0.717982,0.0150766,0.993462,-2.24299,0.519044,2.4605,0.651238
479838.831795,1,-0.717985,0.0150776,0.993464,-2.24299,0.519048,2.46051,0.651236
479838.836857,1,-0.717982,0.0150834,0.993457,-2.24299,0.519047,2.46051,0.651237
479838.841795,1,-0.717986,0.0150807,0.993459,-2.24299,0.519046,2.46051,0.651237
479838.846791,1,-0.717987,0.0150776,0.993459,-2.24299,0.519049,2.46051,0.651231
479838.851886,1,-0.717986,0.015073,0.993461,-2.24299,0.519049,2.46051,0.651234
479838.856887,1,-0.717986,0.0150769,0.99346,-2.24299,0.51905,2.46051,0.651232
479838.861817,1,-0.717985,0.0150778,0.993461,-2.24299,0.519046,2.46051,0.651231
479838.866884,1,-0.717984,0.0150739,0.993462,-2.24299,0.519047,2.4605,0.651235
479838.871819,1,-0.717986,0.0150798,0.993457,-2.24299,0.519044,2.46051,0.651237
479838.876810,1,-0.717989,0.0150739,0.993462,-2.24299,0.519048,2.46051,0.651233
479838.881847,1,-0.717987,0.0150759,0.993461,-2.24299,0.519046,2.46051,0.651238
479838.886825,1,-0.717984,0.0150739,0.993461,-2.24299,0.519045,2.46051,0.651233
479838.891845,1,-0.717986,0.0150741,0.993461,-2.24298,0.519048,2.46051,0.651237
479838.896827,1,-0.717986,0.0150793,0.993458,-2.24299,0.519048,2.4605,0.651235
479838.901922,1,-0.71799,0.0150815,0.993461,-2.24299,0.519049,2.46051,0.651232
479838.906859,1,-0.717986,0.0150797,0.993457,-2.24299,0.519048,2.46051,0.651235
479838.911838,1,-0.717984,0.0150762,0.99346,-2.24299,0.519044,2.46051,0.651239
479838.916822,1,-0.717985,0.0150797,0.993457,-2.24299,0.51905,2.46051,0.651231
479838.921848,1,-0.717985,0.0150805,0.993459,-2.24299,0.519049,2.4605,0.65123
479838.926856,1,-0.717985,0.015074,0.993457,-2.24299,0.519046,2.4605,0.651231
479838.931787,1,-0.717984,0.015082,0.993459,-2.24299,0.519045,2.46051,0.651235
479838.936894,1,-0.717985,0.0150763,0.99346,-2.24299,0.51905,2.46051,0.651233
479838.941855,1,-0.717981,0.01508,0.993463,-2.24299,0.519051,2.46051,0.651233
479838.946807,1,-0.717985,0.0150787,0.993463,-2.24299,0.519043,2.46051,0.651233
479838.951924,1,-0.717986,0.015078,0.993459,-2.24299,0.519049,2.46051,0.651236
479838.956914,1,-0.717988,0.0150776,0.993457,-2.24299,0.519049,2.46051,0.651235
479838.961906,1,-0.717986,0.0150737,0.993465,-2.24299,0.519045,2.46051,0.65124
479838.966819,1,-0.717986,0.01508,0.993457,-2.24299,0.519044,2.46051,0.651235
479838.971886,1,-0.717985,0.0150815,0.993457,-2.24299,0.519046,2.46051,0.651227
479838.976874,1,-0.717987,0.0150769,0.99346,-2.24299,0.519045,2.46051,0.651233
479838.981804,1,-0.717985,0.0150739,0.993457,-2.24299,0.519048,2.46051,0.651228
479838.986833,1,-0.717985,0.0150796,0.993459,-2.24299,0.51905,2.46051,0.651234
479838.991857,1,-0.717982,0.0150739,0.993457,-2.24299,0.51905,2.46051,0.651237
479838.996839,1,-0.717984,0.0150781,0.993457,-2.24299,0.519047,2.46051,0.651229
479839.001943,1,-0.717985,0.0150759,0.993457,-2.24299,0.519047,2.46051,0.651232
479839.006838,1,-0.717986,0.0150814,0.993457,-2.24298,0.51905,2.46051,0.651233
479839.011859,1,-0.717988,0.0150777,0.993459,-2.24299,0.519047,2.46051,0.651238
479839.016847,1,-0.717984,0.0150777,0.993457,-2.24299,0.519049,2.46051,0.651233
479839.021897,1,-0.717984,0.0150783,0.993459,-2.24299,0.519046,2.46051,0.651242
479839.026828,1,-0.717985,0.0150776,0.993459,-2.24299,0.519049,2.46051,0.651236
479839.031872,1,-0.717986,0.0150739,0.993461,-2.24299,0.519047,2.46051,0.651233
479839.036911,1,-0.717987,0.0150776,0.993459,-2.24299,0.51905,2.46051,0.651232
479839.041804,1,-0.717987,0.015079,0.993461,-2.24298,0.519047,2.4605,0.651234
479839.046870,1,-0.717985,0.0150783,0.993457,-2.24299,0.519047,2.4605,0.651228
479839.052603,1,-0.717986,0.0150776,0.993457,-2.24299,0.519046,2.46051,0.651227
479839.056832,1,-0.717985,0.0150813,0.993463,-2.24299,0.519046,2.46051,0.651229
479839.061760,1,-0.717988,0.0150776,0.993459,-2.24299,0.519048,2.46051,0.651239
479839.066873,1,-0.717985,0.0150722,0.993457,-2.24299,0.51905,2.46051,0.651236
479839.071872,1,-0.717988,0.0150739,0.993459,-2.24299,0.519047,2.46051,0.651233
479839.076836,1,-0.717988,0.0150813,0.993459,-2.24299,0.51905,2.4605,0.651235
479839.081761,1,-0.717984,0.0150797,0.993455,-2.24299,0.519048,2.46051,0.651237
479839.090179,1,-0.717984,0.0150739,0.993462,-2.24299,0.519049,2.46051,0.651234
479839.091861,1,-0.717988,0.0150767,0.993459,-2.24299,0.519049,2.46051,0.651236
479839.096893,1,-0.717986,0.0150777,0.993456,-2.24299,0.519044,2.46051,0.651234
479839.101943,1,-0.717984,0.015074,0.993463,-2.24299,0.519049,2.46051,0.651237
479839.106856,1,-0.71798,0.0150766,0.993459,-2.24299,0.519048,2.4605,0.651229
479839.111816,1,-0.717984,0.0150815,0.993459,-2.24299,0.519048,2.46051,0.651234
479839.120260,1,-0.717984,0.0150777,0.993457,-2.24299,0.519048,2.46051,0.651233
479839.121836,1,-0.717982,0.0150795,0.993457,-2.24299,0.519047,2.46051,0.651238
479839.126821,1,-0.717984,0.01508,0.993457,-2.24299,0.519048,2.46051,0.651237
479839.131780,1,-0.717987,0.0150761,0.993457,-2.24299,0.519047,2.46051,0.65124
479839.136889,1,-0.717984,0.0150758,0.993459,-2.24299,0.519046,2.46051,0.651235
479839.142062,1,-0.717986,0.0150758,0.993459,-2.24299,0.519048,2.46051,0.651232
479839.147856,1,-0.717982,0.0150831,0.993459,-2.24299,0.519047,2.46051,0.651238
479839.151835,1,-0.717985,0.0150814,0.993455,-2.24299,0.51905,2.46051,0.651232
479839.156884,1,-0.717984,0.015082,0.993459,-2.24299,0.519045,2.46051,0.65123
479839.161880,1,-0.717985,0.0150783,0.993456,-2.24299,0.519049,2.46051,0.651234
479839.166821,1,-0.717987,0.0150776,0.993457,-2.24299,0.519046,2.46051,0.651231
479839.171892,1,-0.717984,0.0150782,0.993459,-2.24299,0.519047,2.46051,0.651237
479839.176834,1,-0.717988,0.0150759,0.993455,-2.24299,0.519046,2.46051,0.651233
479839.181836,1,-0.717988,0.0150738,0.993459,-2.24299,0.519047,2.46051,0.651237
479839.186854,1,-0.717986,0.0150759,0.993462,-2.24299,0.519051,2.46051,0.651233
479839.191858,1,-0.717985,0.0150783,0.993459,-2.24299,0.519051,2.46051,0.65124
479839.196904,1,-0.717983,0.0150782,0.99346,-2.24299,0.519049,2.46051,0.651235
479839.201934,1,-0.717985,0.01508,0.993459,-2.24299,0.519049,2.46051,0.651236
479839.206888,1,-0.717982,0.0150794,0.993458,-2.24299,0.519049,2.46051,0.651233
479839.211841,1,-0.717982,0.0150793,0.993457,-2.24299,0.519048,2.46051,0.651231
479839.216869,1,-0.717986,0.0150766,0.993461,-2.24299,0.519046,2.46051,0.651231
479839.221911,1,-0.717982,0.0150739,0.993459,-2.24299,0.519048,2.46051,0.651232
479839.226874,1,-0.717984,0.0150775,0.993459,-2.24299,0.519049,2.4605,0.651233
479839.231812,1,-0.717987,0.0150761,0.993459,-2.24299,0.519049,2.46051,0.651233
479839.236952,1,-0.717987,0.0150786,0.993459,-2.24299,0.519046,2.4605,0.651236
479839.241799,1,-0.717984,0.0150821,0.99346,-2.24299,0.51905,2.4605,0.651234
479839.246843,1,-0.717985,0.0150804,0.99346,-2.24299,0.519048,2.46051,0.651233
